policy,dependency,intervention_reliability,utility,recovered,cost,oracle_regret
oracle,FB+FR+FD,1.0,0.44999999999999996,True,11.0,0.0
qrtc,FB+FR+FD,0.8,0.19999999999999996,True,11.0,0.65
qrtc_no_abstention,FB+FR+FD,0.8,0.8,True,4.0,0.04999999999999993
qrtc_untyped,FB+FR+FD,0.8,0.6499999999999999,True,7.0,0.20000000000000007
greedy_gain,FB+FR+FD,0.8,0.8,True,4.0,0.04999999999999993
end_to_end,FB+FR+FD,0.8,0.19999999999999996,True,11.0,0.65
highest_stage_posterior,FB+FR+FD,0.8,0.8,True,4.0,0.04999999999999993
cheapest_first,FB+FR+FD,0.8,-0.6,False,2.0,1.45
random,FB+FR+FD,0.8,-0.05,False,1.0,0.9
oracle,FB+FR+FD,0.8,0.85,True,3.0,0.0
qrtc,FB+FR+FD,1.0,0.44999999999999996,True,11.0,0.4
