trial_id,split,seed,criterion,pair_name,relation_type,severity,noise,fault_1_stage,fault_1_distinction,fault_1_severity,fault_2_stage,fault_2_distinction,fault_2_severity,policy,first_action,action_sequence,recovered,task_loss_before,task_loss_after,intervention_cost,harm,utility,oracle_sequence,oracle_utility,confidence,abstained,early_stop_position
development:401:FG+FW:strict_masking:0.75:0.00:0:end_to_end,development,401,pi_1,FG+FW,strict_masking,0.75,0.0,G,b,0.75,W,h,0.75,end_to_end,rW,rW,False,1.75,0.75,2.0,1.0,-0.35,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.00:0:oracle,development,401,pi_1,FG+FW,strict_masking,0.75,0.0,G,b,0.75,W,h,0.75,oracle,rG,"rG,rW",True,1.75,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.55,False,2
development:401:FG+FW:strict_masking:0.75:0.05:0:qrtc,development,401,pi_1,FG+FW,strict_masking,0.75,0.05,G,b,0.75,W,h,0.75,qrtc,rG,"rG,rW",True,1.8,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.95,False,2
development:401:FG+FW:strict_masking:0.75:0.05:0:random,development,401,pi_1,FG+FW,strict_masking,0.75,0.05,G,b,0.75,W,h,0.75,random,rB,rB,False,1.8,0.765,4.0,1.0,-0.45,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.05:0:cheapest_first,development,401,pi_1,FG+FW,strict_masking,0.75,0.05,G,b,0.75,W,h,0.75,cheapest_first,rJ,rJ,False,1.8,0.765,1.0,1.0,-0.3,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.05:0:highest_stage_posterior,development,401,pi_1,FG+FW,strict_masking,0.75,0.05,G,b,0.75,W,h,0.75,highest_stage_posterior,rG,rG,False,1.8,0.765,5.0,1.0,-0.5,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.05:0:greedy_gain,development,401,pi_1,FG+FW,strict_masking,0.75,0.05,G,b,0.75,W,h,0.75,greedy_gain,rG,"rG,rW",True,1.8,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.45,False,2
development:401:FG+FW:strict_masking:0.75:0.05:0:end_to_end,development,401,pi_1,FG+FW,strict_masking,0.75,0.05,G,b,0.75,W,h,0.75,end_to_end,rW,rW,False,1.8,0.765,2.0,1.0,-0.35,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.05:0:oracle,development,401,pi_1,FG+FW,strict_masking,0.75,0.05,G,b,0.75,W,h,0.75,oracle,rG,"rG,rW",True,1.8,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.55,False,2
development:401:FG+FW:strict_masking:0.75:0.10:0:qrtc,development,401,pi_1,FG+FW,strict_masking,0.75,0.1,G,b,0.75,W,h,0.75,qrtc,rG,"rG,rW",True,1.85,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.95,False,2
development:401:FG+FW:strict_masking:0.75:0.10:0:random,development,401,pi_1,FG+FW,strict_masking,0.75,0.1,G,b,0.75,W,h,0.75,random,r0,r0,False,1.85,0.78,1.0,1.0,-0.3,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.10:0:cheapest_first,development,401,pi_1,FG+FW,strict_masking,0.75,0.1,G,b,0.75,W,h,0.75,cheapest_first,rJ,rJ,False,1.85,0.78,1.0,1.0,-0.3,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.10:0:highest_stage_posterior,development,401,pi_1,FG+FW,strict_masking,0.75,0.1,G,b,0.75,W,h,0.75,highest_stage_posterior,rG,rG,False,1.85,0.78,5.0,1.0,-0.5,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.10:0:greedy_gain,development,401,pi_1,FG+FW,strict_masking,0.75,0.1,G,b,0.75,W,h,0.75,greedy_gain,rG,"rG,rW",True,1.85,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.45,False,2
development:401:FG+FW:strict_masking:0.75:0.10:0:end_to_end,development,401,pi_1,FG+FW,strict_masking,0.75,0.1,G,b,0.75,W,h,0.75,end_to_end,rW,rW,False,1.85,0.78,2.0,1.0,-0.35,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.10:0:oracle,development,401,pi_1,FG+FW,strict_masking,0.75,0.1,G,b,0.75,W,h,0.75,oracle,rG,"rG,rW",True,1.85,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.55,False,2
development:401:FG+FW:strict_masking:0.75:0.20:0:qrtc,development,401,pi_1,FG+FW,strict_masking,0.75,0.2,G,b,0.75,W,h,0.75,qrtc,rG,"rG,rW",True,1.95,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.95,False,2
development:401:FG+FW:strict_masking:0.75:0.20:0:random,development,401,pi_1,FG+FW,strict_masking,0.75,0.2,G,b,0.75,W,h,0.75,random,rG,rG,False,1.95,0.81,5.0,1.0,-0.5,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.20:0:cheapest_first,development,401,pi_1,FG+FW,strict_masking,0.75,0.2,G,b,0.75,W,h,0.75,cheapest_first,rJ,rJ,False,1.95,0.81,1.0,1.0,-0.3,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.20:0:highest_stage_posterior,development,401,pi_1,FG+FW,strict_masking,0.75,0.2,G,b,0.75,W,h,0.75,highest_stage_posterior,rG,rG,False,1.95,0.81,5.0,1.0,-0.5,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.20:0:greedy_gain,development,401,pi_1,FG+FW,strict_masking,0.75,0.2,G,b,0.75,W,h,0.75,greedy_gain,rG,"rG,rW",True,1.95,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.45,False,2
development:401:FG+FW:strict_masking:0.75:0.20:0:end_to_end,development,401,pi_1,FG+FW,strict_masking,0.75,0.2,G,b,0.75,W,h,0.75,end_to_end,rW,rW,False,1.95,0.81,2.0,1.0,-0.35,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.20:0:oracle,development,401,pi_1,FG+FW,strict_masking,0.75,0.2,G,b,0.75,W,h,0.75,oracle,rG,"rG,rW",True,1.95,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.55,False,2
development:401:FG+FW:strict_masking:1.00:0.00:0:qrtc,development,401,pi_1,FG+FW,strict_masking,1.0,0.0,G,b,1.0,W,h,1.0,qrtc,rG,"rG,rW",True,2.0,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.95,False,2
development:401:FG+FW:strict_masking:1.00:0.00:0:random,development,401,pi_1,FG+FW,strict_masking,1.0,0.0,G,b,1.0,W,h,1.0,random,rJ,rJ,False,2.0,0.8,1.0,1.0,-0.3,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:1.00:0.00:0:cheapest_first,development,401,pi_1,FG+FW,strict_masking,1.0,0.0,G,b,1.0,W,h,1.0,cheapest_first,rJ,rJ,False,2.0,0.8,1.0,1.0,-0.3,"rG,rW",0.6499999999999999,0.45,False,1
